user_id,company_size,onboarding_rating,biggest_confusion,feature_request,would_recommend
survey_user_0001,5-20,2,Unclear what I should create first,Templates or examples,Yes
survey_user_0002,100+,3,Needed examples to get started,Sample projects or templates,No
survey_user_0003,5-20,4,Needed examples to get started,Sample projects or templates,Maybe
survey_user_0004,5-20,4,Stared at empty project not knowing what to do,Templates or examples,Maybe
survey_user_0005,21-99,4,Paralyzed by all the empty fields,Simpler onboarding,Maybe
survey_user_0006,21-99,2,Unclear what I should create first,Templates or examples,Maybe
survey_user_0007,5-20,3,Felt overwhelmed by the blank canvas,Simpler onboarding,Maybe
survey_user_0008,5-20,3,Expected it to work differently,Better help docs,Maybe
survey_user_0009,5-20,3,Would help to see what a good task looks like,Sample projects or templates,No
survey_user_0010,21-99,3,Needed examples to get started,Sample projects or templates,Yes
survey_user_0011,21-99,3,Interface wasn't intuitive,Better help docs,Maybe
survey_user_0012,5-20,3,Show me a sample project,Sample projects or templates,No
survey_user_0013,21-99,2,No idea what to put in the task,Templates or examples,Maybe
survey_user_0014,5-20,3,Stared at empty project not knowing what to do,Templates or examples,Yes
survey_user_0015,21-99,3,Examples would have been helpful,Sample projects or templates,Yes
survey_user_0016,5-20,4,Blank project was intimidating,Simpler onboarding,Yes
survey_user_0017,5-20,2,Navigation was confusing,Better help docs,Yes
survey_user_0018,5-20,2,"Too many options, didn't know where to start",Simpler onboarding,Maybe
survey_user_0019,21-99,2,Paralyzed by all the empty fields,Simpler onboarding,Maybe
survey_user_0020,5-20,3,Blank project was intimidating,Simpler onboarding,Yes
survey_user_0021,100+,4,Wasn't sure what kind of tasks to make,Templates or examples,Yes
survey_user_0022,100+,4,Needed examples to get started,Sample projects or templates,Maybe
survey_user_0023,5-20,2,Stared at empty project not knowing what to do,Templates or examples,No
survey_user_0024,5-20,3,No idea what to put in the task,Templates or examples,No
survey_user_0025,5-20,2,Unclear what I should create first,Templates or examples,Maybe
survey_user_0026,21-99,2,Couldn't find the features I needed,Better help docs,Maybe
survey_user_0027,21-99,2,Paralyzed by all the empty fields,Simpler onboarding,Maybe
survey_user_0028,21-99,4,Expected it to work differently,Better help docs,Maybe
survey_user_0029,21-99,3,Couldn't find the features I needed,Better help docs,Maybe
survey_user_0030,5-20,2,Wasn't sure what kind of tasks to make,Templates or examples,Yes
survey_user_0031,5-20,3,Would help to see what a good task looks like,Sample projects or templates,Maybe
survey_user_0032,21-99,3,Stared at empty project not knowing what to do,Templates or examples,Yes
survey_user_0033,5-20,2,Overwhelmed by all the customization options,Simpler onboarding,Maybe
survey_user_0034,100+,3,Paralyzed by all the empty fields,Simpler onboarding,Maybe
survey_user_0035,5-20,4,Overwhelmed by all the customization options,Simpler onboarding,Maybe
survey_user_0036,21-99,2,No idea what to put in the task,Templates or examples,No
survey_user_0037,5-20,3,Wasn't sure what kind of tasks to make,Templates or examples,Maybe
survey_user_0038,5-20,2,Blank project was intimidating,Simpler onboarding,Maybe
survey_user_0039,5-20,2,Too many clicks to do simple things,Better help docs,Maybe
survey_user_0040,21-99,4,Wasn't sure what kind of tasks to make,Templates or examples,Maybe
survey_user_0041,5-20,3,Show me a sample project,Sample projects or templates,No
survey_user_0042,21-99,4,I didn't know what to create,Templates or examples,Maybe
survey_user_0043,21-99,4,Interface wasn't intuitive,Better help docs,No
survey_user_0044,5-20,4,Would help to see what a good task looks like,Sample projects or templates,Maybe
survey_user_0045,5-20,3,Paralyzed by all the empty fields,Simpler onboarding,Yes
survey_user_0046,5-20,3,Unclear what I should create first,Templates or examples,Yes
survey_user_0047,5-20,3,Wasn't sure what kind of tasks to make,Templates or examples,Maybe
survey_user_0048,21-99,2,Interface wasn't intuitive,Better help docs,Maybe
survey_user_0049,5-20,3,Wasn't sure what kind of tasks to make,Templates or examples,No
survey_user_0050,5-20,2,I didn't know what to create,Templates or examples,Maybe
survey_user_0051,100+,2,Interface wasn't intuitive,Better help docs,Maybe
survey_user_0052,21-99,2,Too many clicks to do simple things,Better help docs,Maybe
survey_user_0053,5-20,3,Examples would have been helpful,Sample projects or templates,Yes
survey_user_0054,5-20,3,Overwhelmed by all the customization options,Simpler onboarding,Maybe
survey_user_0055,5-20,3,I didn't know what to create,Templates or examples,Yes
survey_user_0056,5-20,3,Paralyzed by all the empty fields,Simpler onboarding,No
survey_user_0057,21-99,4,Would help to see what a good task looks like,Sample projects or templates,Maybe
survey_user_0058,21-99,2,Examples would have been helpful,Sample projects or templates,Maybe
survey_user_0059,5-20,4,Unclear what I should create first,Templates or examples,Yes
survey_user_0060,21-99,4,Show me a sample project,Sample projects or templates,No
survey_user_0061,5-20,3,Stared at empty project not knowing what to do,Templates or examples,Maybe
survey_user_0062,21-99,3,No idea what to put in the task,Templates or examples,No
survey_user_0063,5-20,3,Stared at empty project not knowing what to do,Templates or examples,Yes
survey_user_0064,5-20,3,"Too many options, didn't know where to start",Simpler onboarding,Maybe
survey_user_0065,5-20,4,Too many clicks to do simple things,Better help docs,Maybe
survey_user_0066,5-20,4,Examples would have been helpful,Sample projects or templates,Maybe
survey_user_0067,5-20,4,Stared at empty project not knowing what to do,Templates or examples,No
survey_user_0068,100+,4,Felt overwhelmed by the blank canvas,Simpler onboarding,Yes
survey_user_0069,5-20,4,Show me a sample project,Sample projects or templates,Maybe
survey_user_0070,21-99,4,"Too many options, didn't know where to start",Simpler onboarding,Yes
survey_user_0071,5-20,4,Needed examples to get started,Sample projects or templates,No
survey_user_0072,5-20,2,Examples would have been helpful,Sample projects or templates,Yes
survey_user_0073,21-99,3,Show me a sample project,Sample projects or templates,No
survey_user_0074,21-99,3,Overwhelmed by all the customization options,Simpler onboarding,Yes
survey_user_0075,5-20,3,Wasn't sure what kind of tasks to make,Templates or examples,Maybe
survey_user_0076,5-20,4,Would help to see what a good task looks like,Sample projects or templates,Yes
survey_user_0077,5-20,3,No idea what to put in the task,Templates or examples,Maybe
survey_user_0078,100+,4,Too many clicks to do simple things,Better help docs,Maybe
survey_user_0079,21-99,3,Paralyzed by all the empty fields,Simpler onboarding,Maybe
survey_user_0080,5-20,3,Show me a sample project,Sample projects or templates,Yes
survey_user_0081,21-99,3,Couldn't find the features I needed,Better help docs,No
survey_user_0082,5-20,3,Would help to see what a good task looks like,Sample projects or templates,Maybe
survey_user_0083,21-99,3,No idea what to put in the task,Templates or examples,Maybe
survey_user_0084,5-20,2,Show me a sample project,Sample projects or templates,Maybe
survey_user_0085,5-20,4,"Too many options, didn't know where to start",Simpler onboarding,Maybe
survey_user_0086,5-20,2,Unclear what I should create first,Templates or examples,Maybe
survey_user_0087,5-20,3,Wish there were templates or samples,Sample projects or templates,Yes
survey_user_0088,5-20,3,Stared at empty project not knowing what to do,Templates or examples,Maybe
survey_user_0089,21-99,4,Navigation was confusing,Better help docs,Maybe
survey_user_0090,5-20,2,Needed examples to get started,Sample projects or templates,Yes
survey_user_0091,21-99,3,I didn't know what to create,Templates or examples,Yes
survey_user_0092,5-20,2,Would help to see what a good task looks like,Sample projects or templates,No
survey_user_0093,5-20,3,Would help to see what a good task looks like,Sample projects or templates,Yes
survey_user_0094,100+,2,Paralyzed by all the empty fields,Simpler onboarding,Yes
survey_user_0095,5-20,2,Blank project was intimidating,Simpler onboarding,Yes
survey_user_0096,21-99,4,Navigation was confusing,Better help docs,Maybe
survey_user_0097,21-99,2,"Too many options, didn't know where to start",Simpler onboarding,Yes
survey_user_0098,21-99,3,Felt overwhelmed by the blank canvas,Simpler onboarding,No
survey_user_0099,5-20,2,Stared at empty project not knowing what to do,Templates or examples,No
survey_user_0100,5-20,3,Stared at empty project not knowing what to do,Templates or examples,Maybe
survey_user_0101,5-20,4,Would help to see what a good task looks like,Sample projects or templates,Maybe
survey_user_0102,21-99,3,I didn't know what to create,Templates or examples,Maybe
survey_user_0103,5-20,4,Would help to see what a good task looks like,Sample projects or templates,No
survey_user_0104,21-99,4,Too many clicks to do simple things,Better help docs,Maybe
survey_user_0105,5-20,3,Wasn't sure what kind of tasks to make,Templates or examples,Maybe
survey_user_0106,5-20,4,Examples would have been helpful,Sample projects or templates,Maybe
survey_user_0107,21-99,2,Overwhelmed by all the customization options,Simpler onboarding,Yes
survey_user_0108,5-20,2,No idea what to put in the task,Templates or examples,No
survey_user_0109,21-99,4,Couldn't find the features I needed,Better help docs,Maybe
survey_user_0110,5-20,2,Paralyzed by all the empty fields,Simpler onboarding,Maybe
survey_user_0111,21-99,3,Overwhelmed by all the customization options,Simpler onboarding,No
survey_user_0112,5-20,4,Examples would have been helpful,Sample projects or templates,No
survey_user_0113,5-20,4,Would help to see what a good task looks like,Sample projects or templates,No
survey_user_0114,5-20,4,"Too many options, didn't know where to start",Simpler onboarding,No
survey_user_0115,5-20,4,I didn't know what to create,Templates or examples,No
survey_user_0116,100+,2,Unclear what I should create first,Templates or examples,Maybe
survey_user_0117,5-20,3,Paralyzed by all the empty fields,Simpler onboarding,Yes
survey_user_0118,5-20,3,Paralyzed by all the empty fields,Simpler onboarding,No
survey_user_0119,21-99,2,Overwhelmed by all the customization options,Simpler onboarding,Maybe
survey_user_0120,5-20,4,Interface wasn't intuitive,Better help docs,Maybe
survey_user_0121,21-99,2,I didn't know what to create,Templates or examples,Maybe
