user_id,event_type,timestamp,company_size,user_role,industry
user_0001,signup,2024-10-27T16:51:53,21-99,PM,Marketing
user_0001,first_task_created,2024-10-27T17:04:53,21-99,PM,Marketing
user_0002,signup,2024-11-27T07:56:50,21-99,Founder,SaaS
user_0002,first_task_created,2024-11-27T08:02:50,21-99,Founder,SaaS
user_0002,first_task_completed,2024-11-27T08:41:50,21-99,Founder,SaaS
user_0003,signup,2024-12-03T02:20:25,5-20,Engineer,Marketing
user_0003,first_task_created,2024-12-03T02:51:25,5-20,Engineer,Marketing
user_0003,first_task_completed,2024-12-03T04:16:25,5-20,Engineer,Marketing
user_0003,invite_sent,2024-12-03T05:16:25,5-20,Engineer,Marketing
user_0004,signup,2024-11-11T00:45:46,21-99,Engineer,Marketing
user_0004,first_task_created,2024-11-11T00:59:46,21-99,Engineer,Marketing
user_0004,first_task_completed,2024-11-11T02:46:46,21-99,Engineer,Marketing
user_0004,invite_sent,2024-11-11T08:46:46,21-99,Engineer,Marketing
user_0005,signup,2024-11-28T14:47:01,5-20,Designer,FinTech
user_0005,first_task_created,2024-11-28T14:54:01,5-20,Designer,FinTech
user_0006,signup,2024-11-23T14:20:52,5-20,Manager,SaaS
user_0006,first_task_created,2024-11-23T15:05:52,5-20,Manager,SaaS
user_0007,signup,2024-12-08T09:46:16,21-99,Founder,E-commerce
user_0007,first_task_created,2024-12-08T10:33:16,21-99,Founder,E-commerce
user_0007,first_task_completed,2024-12-08T11:20:16,21-99,Founder,E-commerce
user_0008,signup,2024-10-27T23:43:31,21-99,PM,HealthTech
user_0008,first_task_created,2024-10-28T00:41:31,21-99,PM,HealthTech
user_0008,first_task_completed,2024-10-28T01:38:31,21-99,PM,HealthTech
user_0008,invite_sent,2024-10-29T20:38:31,21-99,PM,HealthTech
user_0009,signup,2024-12-01T15:36:23,5-20,PM,EdTech
user_0009,first_task_created,2024-12-01T16:27:23,5-20,PM,EdTech
user_0009,first_task_completed,2024-12-01T17:36:23,5-20,PM,EdTech
user_0009,invite_sent,2024-12-03T10:36:23,5-20,PM,EdTech
user_0010,signup,2024-11-01T11:38:00,21-99,Engineer,Marketing
user_0011,signup,2024-12-18T03:53:33,21-99,Engineer,SaaS
user_0011,first_task_created,2024-12-18T04:15:33,21-99,Engineer,SaaS
user_0011,first_task_completed,2024-12-18T05:37:33,21-99,Engineer,SaaS
user_0012,signup,2024-12-25T21:27:40,5-20,Manager,HealthTech
user_0013,signup,2024-10-24T22:41:01,5-20,Designer,E-commerce
user_0014,signup,2024-12-27T04:04:44,5-20,Founder,HealthTech
user_0014,first_task_created,2024-12-27T04:32:44,5-20,Founder,HealthTech
user_0014,first_task_completed,2024-12-27T04:59:44,5-20,Founder,HealthTech
user_0015,signup,2024-10-15T20:08:45,5-20,PM,SaaS
user_0015,first_task_created,2024-10-15T21:03:45,5-20,PM,SaaS
