user_id,signup_date,created_first_task,completed_first_task,invited_teammate
U00157,2024-11-18,TRUE,TRUE,TRUE
U02305,2024-10-22,TRUE,TRUE,FALSE
U04364,2024-11-07,TRUE,FALSE,FALSE
U04291,2024-12-23,TRUE,FALSE,FALSE
U09134,2024-12-17,FALSE,FALSE,FALSE
U09981,2024-10-22,FALSE,FALSE,FALSE
U01328,2024-10-09,TRUE,TRUE,TRUE
U07401,2024-11-14,FALSE,FALSE,FALSE
U05025,2024-10-18,TRUE,FALSE,FALSE
U08045,2024-10-02,FALSE,FALSE,FALSE
U06954,2024-10-10,TRUE,FALSE,FALSE
U09397,2024-10-31,FALSE,FALSE,FALSE
U07498,2024-10-09,FALSE,FALSE,FALSE
U03130,2024-11-17,TRUE,FALSE,FALSE
U01533,2024-12-27,TRUE,TRUE,FALSE
U04831,2024-11-24,TRUE,FALSE,FALSE
U04038,2024-11-04,TRUE,FALSE,FALSE
U09277,2024-10-13,FALSE,FALSE,FALSE
U02226,2024-12-26,TRUE,TRUE,FALSE
U05902,2024-10-14,TRUE,FALSE,FALSE
U02768,2024-10-22,TRUE,TRUE,FALSE
U03440,2024-12-18,TRUE,FALSE,FALSE
U00401,2024-12-27,TRUE,TRUE,TRUE
U08547,2024-11-08,FALSE,FALSE,FALSE
U07699,2024-12-26,FALSE,FALSE,FALSE
U06146,2024-11-20,TRUE,FALSE,FALSE
U08160,2024-10-25,FALSE,FALSE,FALSE
U07519,2024-12-27,FALSE,FALSE,FALSE
U02225,2024-11-27,TRUE,TRUE,FALSE
U08478,2024-11-06,FALSE,FALSE,FALSE
U03094,2024-12-08,TRUE,FALSE,FALSE
U04082,2024-11-12,TRUE,FALSE,FALSE
U09564,2024-11-23,FALSE,FALSE,FALSE
U06765,2024-11-16,TRUE,FALSE,FALSE
U06942,2024-10-29,TRUE,FALSE,FALSE
U07914,2024-11-01,FALSE,FALSE,FALSE
U07628,2024-11-12,FALSE,FALSE,FALSE
U08520,2024-10-20,FALSE,FALSE,FALSE
U09348,2024-11-27,FALSE,FALSE,FALSE
U09704,2024-10-01,FALSE,FALSE,FALSE
U02025,2024-12-11,TRUE,TRUE,FALSE
U04719,2024-11-04,TRUE,FALSE,FALSE
U00415,2024-12-16,TRUE,TRUE,TRUE
U06914,2024-11-19,TRUE,FALSE,FALSE
U05611,2024-10-17,TRUE,FALSE,FALSE
U02068,2024-10-02,TRUE,TRUE,FALSE
U06754,2024-11-04,TRUE,FALSE,FALSE
U08776,2024-11-16,FALSE,FALSE,FALSE
U08320,2024-11-02,FALSE,FALSE,FALSE
U09676,2024-10-06,FALSE,FALSE,FALSE
U09186,2024-10-11,FALSE,FALSE,FALSE
U00304,2024-12-27,TRUE,TRUE,TRUE
U02870,2024-11-13,TRUE,TRUE,FALSE
U04660,2024-10-22,TRUE,FALSE,FALSE
U06450,2024-10-11,TRUE,FALSE,FALSE
U00981,2024-11-18,TRUE,TRUE,TRUE
U08871,2024-12-11,FALSE,FALSE,FALSE
U03744,2024-11-10,TRUE,FALSE,FALSE
U01357,2024-10-05,TRUE,TRUE,TRUE
U07442,2024-11-27,FALSE,FALSE,FALSE
U00956,2024-11-29,TRUE,TRUE,TRUE
U00142,2024-10-05,TRUE,TRUE,TRUE
U09651,2024-11-28,FALSE,FALSE,FALSE
U02114,2024-10-12,TRUE,TRUE,FALSE
U06936,2024-12-04,TRUE,FALSE,FALSE
U09824,2024-10-22,FALSE,FALSE,FALSE
U04919,2024-10-28,TRUE,FALSE,FALSE
U07397,2024-12-17,FALSE,FALSE,FALSE
U07535,2024-12-21,FALSE,FALSE,FALSE
U09390,2024-11-12,FALSE,FALSE,FALSE
U08979,2024-12-24,FALSE,FALSE,FALSE
U08396,2024-11-29,FALSE,FALSE,FALSE
U08081,2024-11-02,FALSE,FALSE,FALSE
U06406,2024-11-14,TRUE,FALSE,FALSE
U05631,2024-11-02,TRUE,FALSE,FALSE
U05742,2024-10-30,TRUE,FALSE,FALSE
U03560,2024-11-24,TRUE,FALSE,FALSE
U02662,2024-10-05,TRUE,TRUE,FALSE
U07471,2024-12-07,FALSE,FALSE,FALSE
U01176,2024-11-08,TRUE,TRUE,TRUE
U04713,2024-11-14,TRUE,FALSE,FALSE
U01919,2024-12-09,TRUE,TRUE,FALSE
U08062,2024-10-06,FALSE,FALSE,FALSE
U05330,2024-11-19,TRUE,FALSE,FALSE
U07666,2024-12-16,FALSE,FALSE,FALSE
U06958,2024-10-24,TRUE,FALSE,FALSE
U05173,2024-11-08,TRUE,FALSE,FALSE
U08602,2024-11-09,FALSE,FALSE,FALSE
U08686,2024-11-26,FALSE,FALSE,FALSE
U05380,2024-12-26,TRUE,FALSE,FALSE
U02435,2024-11-04,TRUE,TRUE,FALSE
U05582,2024-12-18,TRUE,FALSE,FALSE
U05414,2024-10-12,TRUE,FALSE,FALSE
U05526,2024-10-05,TRUE,FALSE,FALSE
U05124,2024-11-17,TRUE,FALSE,FALSE
U09145,2024-12-08,FALSE,FALSE,FALSE
U05753,2024-10-21,TRUE,FALSE,FALSE
U05718,2024-12-22,TRUE,FALSE,FALSE
U05447,2024-11-17,TRUE,FALSE,FALSE
U01798,2024-11-30,TRUE,TRUE,FALSE
U00169,2024-10-12,TRUE,TRUE,TRUE
