user_id,cohort,company_size,completed_first_task,time_to_first_task_minutes,invited_teammate,days_active_week_1,tasks_completed_week_1,used_template
USR04451,treatment,5-20,TRUE,32,FALSE,4,8,FALSE
USR02760,control,21-99,TRUE,39,FALSE,7,4,FALSE
USR06507,treatment,21-99,TRUE,95,TRUE,5,5,TRUE
USR04704,treatment,5-20,TRUE,49,TRUE,5,7,FALSE
USR06423,treatment,21-99,TRUE,22,FALSE,7,7,FALSE
USR05439,treatment,5-20,FALSE,,FALSE,2,0,TRUE
USR00539,control,5-20,TRUE,127,FALSE,1,3,FALSE
USR01838,control,5-20,FALSE,,FALSE,0,0,FALSE
USR02697,control,21-99,TRUE,161,FALSE,1,2,FALSE
USR00071,control,5-20,TRUE,172,FALSE,3,2,FALSE
USR00368,control,5-20,TRUE,130,FALSE,4,1,FALSE
USR02480,control,21-99,TRUE,49,FALSE,4,2,FALSE
USR02778,control,21-99,FALSE,,TRUE,0,0,FALSE
USR02873,control,21-99,FALSE,,TRUE,1,0,FALSE
USR02542,control,21-99,TRUE,138,FALSE,6,2,FALSE
USR02443,control,21-99,TRUE,78,FALSE,1,2,FALSE
USR01557,control,5-20,FALSE,,FALSE,2,0,FALSE
USR01747,control,5-20,FALSE,,FALSE,0,0,FALSE
USR01134,control,5-20,FALSE,,TRUE,1,0,FALSE
USR03401,control,100+,TRUE,127,FALSE,7,1,FALSE
USR00608,control,5-20,TRUE,176,TRUE,3,3,FALSE
USR05790,treatment,5-20,FALSE,,FALSE,2,0,FALSE
USR07856,treatment,100+,FALSE,,FALSE,2,0,FALSE
USR07256,treatment,100+,TRUE,101,TRUE,6,4,FALSE
USR03521,control,100+,TRUE,33,TRUE,2,2,FALSE
USR05388,treatment,5-20,FALSE,,TRUE,1,0,FALSE
USR05667,treatment,5-20,FALSE,,FALSE,1,0,FALSE
USR00086,control,5-20,TRUE,122,FALSE,2,1,FALSE
USR04020,treatment,5-20,TRUE,113,FALSE,5,9,FALSE
USR00240,control,5-20,TRUE,149,TRUE,7,1,FALSE
USR04647,treatment,5-20,TRUE,90,TRUE,5,10,TRUE
USR06190,treatment,5-20,FALSE,,TRUE,1,0,FALSE
USR00948,control,5-20,TRUE,113,FALSE,6,2,FALSE
USR01413,control,5-20,FALSE,,FALSE,2,0,TRUE
USR05932,treatment,5-20,FALSE,,TRUE,2,0,FALSE
USR03869,control,100+,FALSE,,TRUE,0,0,TRUE
USR07758,treatment,100+,FALSE,,TRUE,0,0,TRUE
USR00780,control,5-20,TRUE,84,FALSE,7,2,FALSE
USR02666,control,21-99,TRUE,28,FALSE,4,4,FALSE
USR02071,control,5-20,FALSE,,FALSE,1,0,FALSE
USR05314,treatment,5-20,TRUE,42,FALSE,2,7,FALSE
USR03349,control,100+,TRUE,79,FALSE,7,5,TRUE
USR03056,control,21-99,FALSE,,FALSE,1,0,TRUE
USR02629,control,21-99,TRUE,126,FALSE,5,4,FALSE
USR04506,treatment,5-20,TRUE,104,FALSE,2,10,FALSE
USR00393,control,5-20,TRUE,95,TRUE,4,4,FALSE
USR02156,control,5-20,FALSE,,TRUE,1,0,FALSE
USR06550,treatment,21-99,TRUE,96,TRUE,4,7,TRUE
USR00619,control,5-20,TRUE,117,FALSE,6,3,FALSE
USR06097,treatment,5-20,FALSE,,TRUE,0,0,FALSE
USR00813,control,5-20,TRUE,119,FALSE,7,3,TRUE
USR04300,treatment,5-20,TRUE,46,TRUE,5,8,FALSE
USR01142,control,5-20,FALSE,,FALSE,0,0,FALSE
USR02936,control,21-99,FALSE,,FALSE,2,0,FALSE
USR04477,treatment,5-20,TRUE,65,FALSE,0,4,TRUE
USR04137,treatment,5-20,TRUE,32,FALSE,3,8,FALSE
USR05892,treatment,5-20,FALSE,,FALSE,0,0,FALSE
USR03783,control,100+,FALSE,,FALSE,2,0,FALSE
USR00350,control,5-20,TRUE,153,FALSE,0,5,FALSE
USR05720,treatment,5-20,FALSE,,FALSE,2,0,TRUE
USR06373,treatment,5-20,FALSE,,TRUE,1,0,FALSE
USR07155,treatment,21-99,FALSE,,TRUE,2,0,TRUE
USR01957,control,5-20,FALSE,,FALSE,2,0,FALSE
USR04344,treatment,5-20,TRUE,94,FALSE,5,8,TRUE
USR07580,treatment,100+,FALSE,,TRUE,0,0,FALSE
USR07203,treatment,100+,TRUE,109,TRUE,1,7,FALSE
USR06103,treatment,5-20,FALSE,,FALSE,1,0,FALSE
USR01651,control,5-20,FALSE,,FALSE,1,0,FALSE
USR01486,control,5-20,FALSE,,FALSE,0,0,FALSE
USR04105,treatment,5-20,TRUE,43,FALSE,6,5,FALSE
