user_id,cohort,company_size,completed_first_task,time_to_first_task_minutes,invited_teammate,days_active_week_1,tasks_completed_week_1,used_template
USR15838,treatment,5-20,TRUE,42,FALSE,6,3,TRUE
USR10541,control,5-20,FALSE,,FALSE,0,0,FALSE
USR15630,treatment,5-20,FALSE,,FALSE,0,0,FALSE
USR10962,control,5-20,FALSE,,FALSE,0,0,FALSE
USR17121,treatment,21-99,FALSE,,FALSE,0,0,FALSE
USR10778,control,5-20,FALSE,,FALSE,0,0,FALSE
USR16981,treatment,21-99,TRUE,22,FALSE,3,5,TRUE
USR16852,treatment,21-99,TRUE,22,FALSE,5,6,TRUE
USR16898,treatment,21-99,FALSE,,FALSE,0,0,FALSE
USR15688,treatment,5-20,TRUE,38,TRUE,4,7,TRUE
USR16745,treatment,21-99,FALSE,,FALSE,0,0,FALSE
USR15726,treatment,5-20,FALSE,,FALSE,0,0,FALSE
USR12777,control,21-99,FALSE,,FALSE,0,0,FALSE
USR14429,treatment,5-20,FALSE,,FALSE,0,0,FALSE
USR12840,control,21-99,TRUE,32,FALSE,2,2,FALSE
USR12626,control,21-99,FALSE,,FALSE,0,0,FALSE
USR17258,treatment,21-99,FALSE,,FALSE,0,0,FALSE
USR13912,control,100+,FALSE,,FALSE,0,0,FALSE
USR16730,treatment,21-99,TRUE,28,TRUE,6,9,TRUE
USR10480,control,5-20,FALSE,,FALSE,0,0,FALSE
USR16177,treatment,5-20,FALSE,,FALSE,0,0,FALSE
USR16158,treatment,5-20,TRUE,44,FALSE,5,7,FALSE
USR12263,control,5-20,FALSE,,FALSE,0,0,FALSE
USR17608,treatment,100+,TRUE,19,FALSE,6,5,FALSE
USR16462,treatment,21-99,TRUE,27,TRUE,2,6,FALSE
USR17980,treatment,100+,FALSE,,FALSE,0,0,FALSE
USR12374,control,5-20,TRUE,33,FALSE,0,3,FALSE
USR16279,treatment,5-20,FALSE,,FALSE,0,0,FALSE
USR14120,treatment,5-20,TRUE,37,FALSE,1,5,FALSE
USR11247,control,5-20,TRUE,30,FALSE,3,3,FALSE
USR15040,treatment,5-20,TRUE,25,FALSE,5,7,FALSE
USR14177,treatment,5-20,TRUE,8,TRUE,4,7,FALSE
USR11744,control,5-20,TRUE,38,FALSE,2,3,FALSE
USR10507,control,5-20,TRUE,37,FALSE,2,2,FALSE
USR16042,treatment,5-20,TRUE,26,FALSE,5,8,FALSE
USR15436,treatment,5-20,TRUE,30,FALSE,7,2,FALSE
USR12415,control,21-99,TRUE,20,FALSE,2,2,FALSE
USR16828,treatment,21-99,TRUE,17,FALSE,3,6,TRUE
USR15117,treatment,5-20,FALSE,,FALSE,0,0,FALSE
USR11134,control,5-20,TRUE,11,FALSE,3,1,FALSE
USR12219,control,5-20,FALSE,,FALSE,0,0,FALSE
USR13646,control,100+,FALSE,,FALSE,0,0,FALSE
USR14372,treatment,5-20,TRUE,22,FALSE,3,8,FALSE
USR17593,treatment,21-99,TRUE,38,TRUE,5,5,FALSE
USR16090,treatment,5-20,TRUE,32,FALSE,4,10,FALSE
USR10905,control,5-20,TRUE,29,FALSE,3,1,FALSE
USR11465,control,5-20,FALSE,,FALSE,0,0,FALSE
USR14154,treatment,5-20,TRUE,33,FALSE,1,5,FALSE
USR14916,treatment,5-20,TRUE,6,FALSE,4,6,FALSE
USR16290,treatment,5-20,TRUE,15,FALSE,2,4,FALSE
USR13837,control,100+,TRUE,10,FALSE,2,3,FALSE
USR15034,treatment,5-20,FALSE,,FALSE,0,0,FALSE
USR11244,control,5-20,FALSE,,FALSE,0,0,FALSE
USR12550,control,21-99,TRUE,13,FALSE,3,5,FALSE
USR13917,control,100+,TRUE,26,FALSE,5,2,FALSE
USR10274,control,5-20,TRUE,43,FALSE,0,1,FALSE
USR11259,control,5-20,TRUE,7,FALSE,4,3,FALSE
USR17722,treatment,100+,FALSE,,FALSE,0,0,FALSE
USR10409,control,5-20,TRUE,41,FALSE,4,3,FALSE
USR11270,control,5-20,TRUE,32,FALSE,2,3,FALSE
USR13145,control,21-99,FALSE,,FALSE,0,0,FALSE
USR11883,control,5-20,TRUE,27,FALSE,0,3,TRUE
USR13482,control,21-99,FALSE,,FALSE,0,0,FALSE
USR16571,treatment,21-99,FALSE,,FALSE,0,0,FALSE
USR10219,control,5-20,TRUE,40,TRUE,0,1,FALSE
USR17685,treatment,100+,FALSE,,FALSE,0,0,FALSE
USR13448,control,21-99,FALSE,,FALSE,0,0,FALSE
USR11401,control,5-20,FALSE,,FALSE,0,0,FALSE
USR14194,treatment,5-20,FALSE,,FALSE,0,0,FALSE
USR11862,control,5-20,TRUE,45,FALSE,1,0,FALSE
USR10221,control,5-20,TRUE,42,FALSE,1,2,FALSE
USR13928,control,100+,FALSE,,FALSE,0,0,FALSE
USR14779,treatment,5-20,FALSE,,FALSE,0,0,FALSE
USR17536,treatment,21-99,TRUE,29,FALSE,1,6,FALSE
USR15743,treatment,5-20,TRUE,35,FALSE,6,5,TRUE
USR16544,treatment,21-99,TRUE,28,FALSE,3,6,FALSE
USR17564,treatment,21-99,FALSE,,FALSE,0,0,FALSE
USR14619,treatment,5-20,FALSE,,FALSE,0,0,FALSE
USR12533,control,21-99,FALSE,,FALSE,0,0,FALSE
USR10384,control,5-20,FALSE,,FALSE,0,0,FALSE
USR15886,treatment,5-20,TRUE,13,FALSE,7,5,TRUE
USR17095,treatment,21-99,FALSE,,FALSE,0,0,FALSE
USR11802,control,5-20,FALSE,,FALSE,0,0,FALSE
USR11574,control,5-20,TRUE,37,TRUE,2,4,FALSE
USR14467,treatment,5-20,TRUE,39,FALSE,5,7,TRUE
USR11169,control,5-20,FALSE,,FALSE,0,0,FALSE
USR16873,treatment,21-99,FALSE,,FALSE,0,0,FALSE
USR10574,control,5-20,FALSE,,FALSE,0,0,FALSE
